,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,Worldwide Gross,Worldwide Share,Domestic Nett,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount
0,Movie,https://www.imdb.com/title/tt7430722/,War,"Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country&apos;s top agent Kabir who has gone rogue. A deadly war begins.",https://m.media-amazon.com/images/M/MV5BMGUzZDIyMmEtZWExZi00OTJmLWI4YWUtZjMwNzcwNjgyYTQwXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure, Thriller",PT2H31M,Hindi,210cr,460.6cr,200.6cr,308.7cr,Blockbuster,AggregateRating,10,1,6.5,34026
1,Movie,https://www.imdb.com/title/tt6836936/,Saaho,"In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail.",https://m.media-amazon.com/images/M/MV5BNDExZjFiYjItMmM3OS00OGUxLTliMTctMzFhZDkzMmFhMzY1XkEyXkFqcGdeQXVyMTA1NTAyMjAw._V1_.jpg,Not Rated,"Action, Thriller",PT2H50M,Telugu,250cr,413.9cr,203.6cr,281.1cr,Below Average,AggregateRating,10,1,5.0,24158
2,Movie,https://www.imdb.com/title/tt8983202/,Kabir Singh,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",https://m.media-amazon.com/images/M/MV5BOTIyMTNkMWQtZDJlYi00OGJmLTliN2MtOGE0YjY4NzFiYTNmXkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_.jpg,Not Rated,"Action, Drama, Romance",PT2H53M,Hindi,75cr,373.8cr,150.1cr,276.5cr,Super Blockbuster,AggregateRating,10,1,7.0,41452
3,Movie,https://www.imdb.com/title/tt8291224/,Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",https://m.media-amazon.com/images/M/MV5BMWU4ZjNlNTQtOGE2MS00NDI0LWFlYjMtMmY3ZWVkMjJkNGRmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Action, Drama, History",PT2H18M,Hindi,50cr,340.5cr,123.5cr,244.1cr,Super Blockbuster,AggregateRating,10,1,8.2,73669
4,Movie,https://www.imdb.com/title/tt7721800/,Bharat,"At the cusp of India&apos;s birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",https://m.media-amazon.com/images/M/MV5BYzRjMTY1MzktZGRmNi00YjM0LWJkOTUtMmI0ZGEyZjdkOGFhXkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H30M,Hindi,150cr,306.5cr,132.1cr,197.3cr,Above Average,AggregateRating,10,1,4.7,32693
5,Movie,https://www.imdb.com/title/tt8504014/,Good Newwz,Two couples with the same surname pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,https://m.media-amazon.com/images/M/MV5BNWQzNGQxY2YtNWZjOC00MGU4LTgzNTUtODliOGQzYTkxYzM1XkEyXkFqcGdeQXVyMTA5NzIyMDY5._V1_.jpg,Not Rated,"Comedy, Drama",PT2H14M,Hindi,115cr,305.4cr,129.1cr,196.3cr,Super Hit,AggregateRating,10,1,6.8,22544
6,Movie,https://www.imdb.com/title/tt9260636/,Bigil,"Michael gives up his dream of becoming a footballer after his father&apos;s murder. However, a friend convinces him to coach a women&apos;s football team and turn his life around.",https://m.media-amazon.com/images/M/MV5BNTNjNTNmMzQtYTcyYS00ZmY1LWJjMWYtMDFjZWJjNDQ2OGE1XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Not Rated,"Action, Drama, Sport",PT2H59M,Tamil,160cr,300.8cr,153.6cr,180.2cr,Hit,AggregateRating,10,1,6.7,24797
7,Movie,https://www.imdb.com/title/tt7721946/,Housefull 4,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",https://m.media-amazon.com/images/M/MV5BYjIyODM0OTAtMmYwNS00YTA1LTkwMjctYzcwZWFhZjcyMWM2XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H25M,Hindi,160cr,294.4cr,124.4cr,205.6cr,Super Hit,AggregateRating,10,1,3.6,14473
8,Movie,https://www.imdb.com/title/tt9248972/,Mission Mangal,"Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",https://m.media-amazon.com/images/M/MV5BZThmMWFlOWYtY2M0YS00OWIxLWI4MzgtYTJhMDNkZDY4ZjhjXkEyXkFqcGdeQXVyNzc4NzEzNjY@._V1_.jpg,Not Rated,"Drama, History",PT2H10M,Hindi,95cr,279.1cr,119.9cr,192.7cr,Blockbuster,AggregateRating,10,1,6.5,17959
9,Movie,https://www.imdb.com/title/tt7283064/,Sye Raa Narasimha Reddy,"A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",https://m.media-amazon.com/images/M/MV5BN2VmMjdhMjMtNmZmMi00MGRhLWI0ZmMtMjI5MmZlZGZjNDUwXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H47M,Telugu,200cr,231.5cr,133.8cr,174.6cr,Average,AggregateRating,10,1,7.2,8763
10,Movie,https://www.imdb.com/title/tt2395469/,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_.jpg,Not Rated,"Drama, Music, Romance",PT2H34M,Hindi,75cr,230.9cr,100.1cr,134.2cr,Hit,AggregateRating,10,1,7.9,44297
11,Movie,https://www.imdb.com/title/tt7639372/,Total Dhamaal,A group of people learn about a hidden treasure and then they race to find it and claim it.,https://m.media-amazon.com/images/M/MV5BMTdiN2Q2MGUtYWRjMi00M2Y2LWEzOTYtOTA3NjNiMGMzNmFhXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Action, Adventure, Comedy",PT2H10M,Hindi,110cr,227.1cr,95.9cr,150.1cr,Hit,AggregateRating,10,1,4.2,8043
12,Movie,https://www.imdb.com/title/tt7059844/,Dabangg 3,"Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",https://m.media-amazon.com/images/M/MV5BMGM4MDkxMTQtYWU0OS00ZThmLWJhODctYzAxZjhkNDlmYTlhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Comedy, Crime",PT2H40M,Hindi,150cr,219.4cr,93.1cr,134.8cr,Flop,AggregateRating,10,1,3.0,20503
13,Movie,https://www.imdb.com/title/tt8959820/,Petta,"A hostel warden becomes the target of a dreaded politician and his gangster son, but little do they realize that it is they who should fear him.",https://m.media-amazon.com/images/M/MV5BNDc4OTA4NjctMWVhZS00OTJmLThlYjgtYTQ0MGFiYWQ5Yjg1XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Drama",PT2H51M,Tamil,145cr,216.1cr,110.9cr,126.6cr,Above Average,AggregateRating,10,1,7.1,12209
14,Movie,https://www.imdb.com/title/tt7485048/,Super 30,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,https://m.media-amazon.com/images/M/MV5BMWQzM2Y0ZDQtYjA1MS00YmUzLWFiMGQtZTliZWM1MWRiNDZhXkEyXkFqcGdeQXVyNTE2MzU4OTA@._V1_.jpg,Not Rated,"Biography, Drama",PT2H34M,Hindi,90cr,208.2cr,84.1cr,147.1cr,Hit,AggregateRating,10,1,7.9,37832
15,Movie,https://www.imdb.com/title/tt9052870/,Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",https://m.media-amazon.com/images/M/MV5BYjg2ZDI2YTYtN2EwYi00YWI5LTgyMWQtMWFkYmE3NmJkOGVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Comedy, Drama, Romance",PT2H23M,Hindi,50cr,203.7cr,81.5cr,145.6cr,Blockbuster,AggregateRating,10,1,8.3,65212
16,Movie,https://www.imdb.com/title/tt6264938/,Kesari,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",https://m.media-amazon.com/images/M/MV5BMmUyYzA3MGQtNzE0Zi00Nzg0LTk4NTAtNDQ3YWQ4M2IwMWYxXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Drama, History",PT2H30M,Hindi,125cr,202cr,80.8cr,151cr,Hit,AggregateRating,10,1,7.4,22652
17,Movie,https://www.imdb.com/title/tt9248940/,Dream Girl,"Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a &apos;dream girl&apos;. In every love story, there is always one trying to win the heart of the other, who could be the &apos;dream girl&apos;.",https://m.media-amazon.com/images/M/MV5BNmUyMzU3YjgtZTliNS00NWM2LWI5ODgtYWE3ZjAzODgyNjNhXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,Not Rated,"Comedy, Romance",PT2H12M,Hindi,40cr,196.5cr,78.6cr,139.5cr,Blockbuster,AggregateRating,10,1,7.0,16864
18,Movie,https://www.imdb.com/title/tt7725626/,Viswasam,"A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.",https://m.media-amazon.com/images/M/MV5BY2EzNDUxODktMDIzNC00ZGFiLTk5NTItMTk3MDIyNjMxZTZlXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Drama",PT2H33M,Tamil,85cr,182.5cr,96.4cr,126.5cr,Super Hit,AggregateRating,10,1,6.5,10687
19,Movie,https://www.imdb.com/title/tt8333978/,Maharshi,A story about Rishi and his quest for success in different stages of life from being a US-based businessman to being a champion for the poor downtrodden farmers.,https://m.media-amazon.com/images/M/MV5BZmU5NDU0YjktYzYwYy00N2FiLWI2YmYtNzhjOTg4NjkwN2IyXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Drama",PT2H56M,Telugu,90cr,170.5cr,100.1cr,128.5cr,Hit,AggregateRating,10,1,7.2,10063
20,Movie,https://www.imdb.com/title/tt9420648/,Bala,It tells the story of a man who is balding prematurely and how he copes up with the situation.,https://m.media-amazon.com/images/M/MV5BM2FlODNjNDgtMDg3OS00ZDM3LTk1ODMtOTUxNDliZjBiMzdhXkEyXkFqcGc@._V1_.jpg,Not Rated,Comedy,PT2H13M,Hindi,40cr,165cr,66.1cr,112cr,Super Hit,AggregateRating,10,1,7.3,16317
21,Movie,https://www.imdb.com/title/tt6988116/,Kalank,"The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.",https://m.media-amazon.com/images/M/MV5BYTg4NWEyMjMtNTM2MS00M2I4LWFjOTQtMDRjNjc0ODI3NmY4XkEyXkFqcGdeQXVyOTc1MDE5NzI@._V1_.jpg,Not Rated,"Drama, Romance",PT2H46M,Hindi,140cr,146.5cr,62.5cr,80.1cr,Flop,AggregateRating,10,1,3.6,17224
22,Movie,https://www.imdb.com/title/tt8130968/,Badla,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,https://m.media-amazon.com/images/M/MV5BYjZiMzIzYTctNDViZi00OWNmLWFmN2YtMmI2OWJiZWViMmY3XkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_.jpg,Not Rated,"Crime, Drama, Mystery",PT1H58M,Hindi,40cr,136.4cr,53.3cr,87.6cr,Super Hit,AggregateRating,10,1,7.8,31507
