,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,Worldwide Gross,Worldwide Share,Domestic Nett,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount,alternateName
0,Movie,https://www.imdb.com/title/tt9389998/,Pushpa: The Rise - Part 1,"A labourer rises through the ranks of a red sandalwood smuggling syndicate, making some powerful enemies in the process.",https://m.media-amazon.com/images/M/MV5BMmQ4YmM3NjgtNTExNC00ZTZhLWEwZTctYjdhOWI4ZWFlMDk2XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H59M,Telugu,130cr,360.8cr,177.3cr,271.4cr,Super Hit,AggregateRating,10,1,7.6,89591,
1,Movie,https://www.imdb.com/title/tt9531772/,Sooryavanshi,"DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India, tries to bring down a terrorist organization with which he has a history.",https://m.media-amazon.com/images/M/MV5BNDI3M2E5ZGQtZjVlNS00NzFhLTg0NTAtZDZmOTBjODg3ZDQ1XkEyXkFqcGdeQXVyNzkxOTEyMjI@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H25M,Hindi,175cr,300.5cr,125.5cr,195.5cr,Hit,AggregateRating,10,1,5.9,79423,
2,Movie,https://www.imdb.com/title/tt10579952/,Master,"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.",https://m.media-amazon.com/images/M/MV5BNWM4MTcxNzgtNTM5ZC00NDdkLTlkOTEtZWExZWMxNGMxYTgyXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H59M,Tamil,135cr,245.3cr,127.1cr,170.3cr,Super Hit,AggregateRating,10,1,7.4,84424,
3,Movie,https://www.imdb.com/title/tt7518786/,83,"On June 25, 1983, the Lord&apos;s Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",https://m.media-amazon.com/images/M/MV5BYmNlNGY2NWEtODBiYi00YWIxLTkyNmItNTUwMmRjOTY4NzNkXkEyXkFqcGc@._V1_.jpg,TV-14,"Biography, Drama, History",PT2H42M,Hindi,225cr,184.5cr,85.2cr,104.2cr,Flop,AggregateRating,10,1,7.5,41266,&apos;83
4,Movie,https://www.imdb.com/title/tt11253090/,Annaatthe,"Kaaliyan has a sister who marries a young man without the permission from Kaaliyan and moves to Kolkata with her husband , where she faces unknown threats. Soon her brother Kaaliyan comes to the rescue.",https://m.media-amazon.com/images/M/MV5BMzEyYTEyOGEtMjZjNC00MGEwLWFkMzItZDFhNDYzMTQwMzllXkEyXkFqcGc@._V1_.jpg,,"Action, Comedy, Drama",PT2H43M,Tamil,120cr,146.1cr,76.2cr,90.3cr,Flop,AggregateRating,10,1,4.0,10799,
5,Movie,https://www.imdb.com/title/tt8269248/,Vakeel Saab,Three girls find themselves accused of attempt to murder after escaping molestation. Their only hope is an alcoholic lawyer who agrees to take up the case.,https://m.media-amazon.com/images/M/MV5BYjQxNDJiMjktODE0MC00YzdiLWI5OWMtMzczMWUzZjdkNzlhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_.jpg,TV-14,"Action, Crime, Drama",PT2H33M,Telugu,90cr,131.1cr,76.9cr,103.1cr,Average,AggregateRating,10,1,6.9,12459,
6,Movie,https://www.imdb.com/title/tt11773378/,Akhanda,"When the nefarious Varadarajulu plans to attack Murali Krishna, an ardent devotee of Lord Shiva, Akhanda leaves no stone unturned to defeat the evil.",https://m.media-amazon.com/images/M/MV5BY2Y0YTlkZmMtZDMwZi00MDQwLThmYmUtZjQzMjRlMmQzMTNiXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,,"Action, Drama",PT2H47M,Telugu,55cr,119.6cr,70.5cr,91.3cr,Super Hit,AggregateRating,10,1,6.9,19582,
7,Movie,https://www.imdb.com/title/tt11374902/,Doctor,"When his fiancee&apos;s niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits.",https://m.media-amazon.com/images/M/MV5BM2I0OGFlMjQtZDlkMy00YzMzLWJmZGUtNzc3ZDc4YTAyOGM3XkEyXkFqcGdeQXVyMTA5MjQ4MDg4._V1_.jpg,Not Rated,"Action, Comedy, Crime",PT2H28M,Tamil,40cr,101.4cr,53.6cr,69.1cr,Super Hit,AggregateRating,10,1,7.4,19203,
8,Movie,https://www.imdb.com/title/tt9633480/,Uppena,"The son of a fishing community falls for a village head&apos;s daughter, but they face violent opposition from the girl&apos;s doggedly old-fashioned father.",https://m.media-amazon.com/images/M/MV5BNjEwMzY4NmEtMTY3ZC00N2JhLTg1ZGUtZjU3NWUzYWE4YTUwXkEyXkFqcGdeQXVyMTI4Nzc4Njg3._V1_.jpg,TV-14,"Action, Drama, Romance",PT2H27M,Telugu,25cr,92.2cr,52.1cr,75.8cr,Super Blockbuster,AggregateRating,10,1,6.5,4369,
9,Movie,https://www.imdb.com/title/tt4983780/,Maanaadu,"On the day of a public conference by the state&apos;s Chief Minister, his bodyguard and a police officer are stuck in a time loop.",https://m.media-amazon.com/images/M/MV5BZDJiZWVjNDUtNjJmYS00ZGQ1LWExMjUtMjg4ZTI0MDZiNTBjXkEyXkFqcGc@._V1_.jpg,PG-13,"Action, Adventure, Sci-Fi",PT2H27M,Tamil,30cr,84.3cr,44.1cr,55.3cr,Blockbuster,AggregateRating,10,1,8.2,25703,
10,Movie,https://www.imdb.com/title/tt7026666/,Kurup,Kurup is a criminal who is on the run from police after murdering someone for life insurance fraud.,https://m.media-amazon.com/images/M/MV5BYzllMzQ5YzktNmUyMy00YTQxLWIwOGQtNmI3MmE2NzIxYzNiXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,,"Biography, Crime, Drama",PT2H20M,Malayalam,20cr,80.8cr,36.5cr,40.6cr,Blockbuster,AggregateRating,10,1,7.0,14951,
11,Movie,https://www.imdb.com/title/tt11306376/,Jathi Ratnalu,The plot revolves around the three prisoners. They get released and plan for a happy life outside. Things take a new turn and bring in a twist. Can they find happiness and love now?,https://m.media-amazon.com/images/M/MV5BYTdiZDBmNWQtNzM1ZS00MTBkLWEzOGMtY2JkODczMzc2Nzg2XkEyXkFqcGc@._V1_.jpg,,Comedy,PT2H25M,Telugu,15cr,70.3cr,39.5cr,51.1cr,Super Blockbuster,AggregateRating,10,1,7.3,8268,
12,Movie,https://www.imdb.com/title/tt8302382/,Krack,"Krack is an action film which follows Veera Shankar, a hot headed police sergeant, who forms a vicious rivalry with notorious crime figure, Katari Krishna.",https://m.media-amazon.com/images/M/MV5BYzExZTk0ZjctOGY2Yy00YmVhLWJiNWYtNDcyYjEzMTJhOWU3XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H34M,Telugu,30cr,70.1cr,39.3cr,57.9cr,Super Blockbuster,AggregateRating,10,1,6.9,7443,
13,Movie,https://www.imdb.com/title/tt11581174/,Karnan,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",https://m.media-amazon.com/images/M/MV5BZGFmM2IzMjctMjg4Yy00OTgyLTk4Y2ItMWRhMmJjZWZjMzg4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,,"Action, Drama",PT2H38M,Tamil,30cr,67.5cr,33.5cr,47.8cr,Super Hit,AggregateRating,10,1,8.0,23988,
14,Movie,https://www.imdb.com/title/tt11384004/,Love Story,A love story of a boy and girl who move to the city from their village to pursue their dreams.,https://m.media-amazon.com/images/M/MV5BNzgxMGJmMjktNWY1MS00NzM0LTkzNjktY2NmMjgwODk0NjFhXkEyXkFqcGc@._V1_.jpg,,Romance,PT2H35M,Telugu,30cr,63.8cr,34.9cr,44.8cr,Hit,AggregateRating,10,1,6.8,4546,
15,Movie,https://www.imdb.com/title/tt13491110/,Antim: The Final Truth,The cop played by Salman fights the land mafia in the film.,https://m.media-amazon.com/images/M/MV5BNjczYTcxYTAtOTZjMS00YzQzLWFjYjctZGI0MmJmNThiYzcwXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,,"Action, Crime, Drama",PT2H18M,Hindi,45cr,57.3cr,26.6cr,38.5cr,Below Average,AggregateRating,10,1,6.2,42292,
16,Movie,https://www.imdb.com/title/tt14598754/,Honsla Rakh,"A lovable, rooted, desi and punjabi young single father of a 7-year-old boy attempts to find love again.",https://m.media-amazon.com/images/M/MV5BZjhlOWJlMzctNjI3Yi00NzUzLTk5MjUtYjVkZmM3NzEyMWE1XkEyXkFqcGdeQXVyMTM4MzE0MDk1._V1_.jpg,,"Comedy, Drama, Romance",PT2H25M,Punjabi,10cr,55.8cr,25.5cr,20.8cr,Blockbuster,AggregateRating,10,1,7.3,7939,
17,Movie,https://www.imdb.com/title/tt11260832/,Bellbottom,"When an Indian commercial airliner is hijacked by terrorists in the mid 1980s, a government agent is tasked with rescuing the 210 hostages.",https://m.media-amazon.com/images/M/MV5BMzNhOGJiMDQtYzBmOC00OGY2LTg0ZDUtYTBjMTI5MTA4M2NjXkEyXkFqcGc@._V1_.jpg,,"Action, Thriller",PT2H3M,Hindi,160cr,52.1cr,26.4cr,32.1cr,Disaster,AggregateRating,10,1,6.1,23768,
18,Movie,https://www.imdb.com/title/tt13349716/,Shyam Singha Roy,"Centers in the theme of reincarnation, unfolding in Kolkata and Hyderabad.",https://m.media-amazon.com/images/M/MV5BZTY2NDdlMzctODM0OS00MzQ0LWIxNTctNmE3NjU0YzBmYmEwXkEyXkFqcGdeQXVyMTA5MjQ4MDg4._V1_.jpg,TV-MA,"Drama, Romance",PT2H35M,Telugu,40cr,51.8cr,28.5cr,36.4cr,Hit,AggregateRating,10,1,7.6,15491,
