,@type,url,name,alternateName,description,image,contentRating,genre,duration,Language,Budget,First Day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict,Release date,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount
0,Movie,https://www.imdb.com/title/tt8178634/,RRR (Rise Roar Revolt),RRR,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,https://m.media-amazon.com/images/M/MV5BODUwNDNjYzctODUxNy00ZTA2LWIyYTEtMDc5Y2E5ZjBmNTMzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,TV-MA,"Action, Adventure, Drama",PT3H7M,Telugu,,,,,,Blockbuster,,AggregateRating,10,1,7.8,171389
1,Movie,https://www.imdb.com/title/tt10698680/,K.G.F: Chapter 2,,"In the blood-soaked Kolar Gold Fields, Rocky&apos;s name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",https://m.media-amazon.com/images/M/MV5BNjgzNDE5YTItNjM1Yi00OTk1LTk5ZjItYzAwNjM1ZWE3MDBiXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H46M,Kannada,,,,,,All Time Blockbuster,,AggregateRating,10,1,8.2,153023
2,Movie,https://www.imdb.com/title/tt10701074/,Ponniyin Selvan: Part One,Ponniyin Selvan: Part I,"Vandiyathevan crosses the Chola land to deliver a message from the Crown Prince Aditha Karikalan, while Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne.",https://m.media-amazon.com/images/M/MV5BZjZlNGRhNTQtZTY1Ni00MjdhLWJhYjEtN2NkMjVmNTAwMjZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H47M,Tamil,,,,,,Blockbuster,,AggregateRating,10,1,7.6,36913
3,Movie,https://www.imdb.com/title/tt6277462/,Brahmastra Part One: Shiva,,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",https://m.media-amazon.com/images/M/MV5BMDIxMWZjODAtNmRjOC00OGExLWJjZTAtMmQ1MzRmYjhlNjk3XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Adventure, Fantasy",PT2H47M,Hindi,,,,,,Below Average,,AggregateRating,10,1,5.6,112554
4,Movie,https://www.imdb.com/title/tt9179430/,Vikram,,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.",https://m.media-amazon.com/images/M/MV5BMDRiOWNjYjUtMDI0ZC00MDMyLTkwZDItNTU5NWQ1NjEyNGYxXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H55M,Tamil,,,,,,Blockbuster,,AggregateRating,10,1,8.3,76807
5,Movie,https://www.imdb.com/title/tt15327088/,Kantara,,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",https://m.media-amazon.com/images/M/MV5BNWY1OGE0YzktMjFjOC00NWVhLTkxZmItOGZhMzk2YzM4MWZmXkEyXkFqcGdeQXVyMTc5NTY1ODA1._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H28M,Kannada,,,,,,All Time Blockbuster,,AggregateRating,10,1,8.2,104562
6,Movie,https://www.imdb.com/title/tt15501640/,Drishyam 2,,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,https://m.media-amazon.com/images/M/MV5BYmY2ZDUxNzUtYWZlYy00MThhLWI5NjktZDhjZTU3MDY5YTM3XkEyXkFqcGdeQXVyNTYxMDgzODI@._V1_.jpg,Not Rated,"Crime, Drama, Mystery",PT2H20M,Hindi,,,,,,Blockbuster,,AggregateRating,10,1,8.2,46240
7,Movie,https://www.imdb.com/title/tt10811166/,The Kashmir Files,,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",https://m.media-amazon.com/images/M/MV5BYTUwZTNjY2MtNmRjOC00YmI1LThlNWUtZTFkMDgzNTc5ODAwXkEyXkFqcGc@._V1_.jpg,Not Rated,Drama,PT2H50M,Hindi,,,,,,Blockbuster,,AggregateRating,10,1,8.6,575111
8,Movie,https://www.imdb.com/title/tt6455162/,Bhool Bhulaiyaa 2,,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years.",https://m.media-amazon.com/images/M/MV5BNWY5MWEyNzYtYjI2ZS00OWU5LWIxOTUtNjViYTVhY2YzYTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,,"Comedy, Horror",PT2H23M,Hindi,,,,,,Blockbuster,,AggregateRating,10,1,5.7,33524
9,Movie,https://www.imdb.com/title/tt11301946/,Beast,,A jaded former intelligence agent is pulled back into action when an attack at a mall creates a tense hostage situation.,https://m.media-amazon.com/images/M/MV5BNDgxMDE1YjUtNmM0Mi00YWMzLTk1OWMtZjczNjg4MjljZDdhXkEyXkFqcGdeQXVyMTczODY0ODg4._V1_.jpg,Not Rated,"Action, Comedy, Crime",PT2H35M,Tamil,,,,,,Below Average,,AggregateRating,10,1,5.2,36960
