,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,First Day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount,alternateName,First Day Collection India,India Net Collection,India Gross collection,India Net collection
0,Movie,https://www.imdb.com/title/tt15354916/,Jawan,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,https://m.media-amazon.com/images/M/MV5BOWI5NmU3NTUtOTZiMS00YzA1LThlYTktNDJjYTU5NDFiMDUxXkEyXkFqcGdeQXVyMTUzNjEwNjM2._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H49M,Hindi,285cr,129.6cr,1150.7cr,386.4cr,764.3cr,All Time Blockbuster,AggregateRating,10,1,6.9,99934,,,,,
1,Movie,https://www.imdb.com/title/tt12844910/,Pathaan,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",https://m.media-amazon.com/images/M/MV5BYTgzNjBjYTctOGJiZi00MTliLTk0YzYtNDJmYTQyMDdkMjQ5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure, Thriller",PT2H26M,Hindi,250cr,104.8cr,1042.2cr,393.4cr,648.8cr,All Time Blockbuster,AggregateRating,10,1,5.8,158261,,,,,
2,Movie,https://www.imdb.com/title/tt13751694/,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father&apos;s life.,https://m.media-amazon.com/images/M/MV5BNGViM2M4NmUtMmNkNy00MTQ5LTk5MDYtNmNhODAzODkwOTJlXkEyXkFqcGdeQXVyMTY1NDY4NTIw._V1_.jpg,Not Rated,"Action, Crime, Drama",PT3H24M,Hindi,140cr,115.9cr,910.4cr,250.6cr,659.8cr,Blockbuster,AggregateRating,10,1,6.1,98028,,,,,
3,Movie,https://www.imdb.com/title/tt15441054/,Gadar 2,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeetey sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",https://m.media-amazon.com/images/M/MV5BODJkYjUzODctYmE0NS00NmJiLTljZGMtYmMxYzUxOTliZGY1XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H50M,Hindi,80cr,53.7cr,690.2cr,65.5cr,624.7cr,Blockbuster,AggregateRating,10,1,5.1,22652,,,,,
4,Movie,https://www.imdb.com/title/tt13927994/,Salaar: Part 1 - Ceasefire,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",https://m.media-amazon.com/images/M/MV5BYWM5OGZjYTktYWNiNy00ZGMyLTlhMjEtNzY3MDY4MjhlZTljXkEyXkFqcGdeQXVyMTUwMDg3OTQy._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H55M,Telugu,250cr,165.3cr,625.6cr,137.8cr,487.8cr,Hit,AggregateRating,10,1,6.6,69295,Salaar,,,,
5,Movie,https://www.imdb.com/title/tt15654328/,Leo,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",https://m.media-amazon.com/images/M/MV5BMmFiOGYyZjQtZmZmNC00ZTgzLWI5ZjktMTRiYzc5NjAzODRkXkEyXkFqcGdeQXVyMTYyNDkzNzgz._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H44M,Tamil,225cr,142.8cr,615.6cr,203.7cr,411.9cr,Blockbuster,AggregateRating,10,1,7.2,62792,,,,,
6,Movie,https://www.imdb.com/title/tt11663228/,Jailer,"A retired jailer goes on a manhunt to find his son&apos;s killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",https://m.media-amazon.com/images/M/MV5BNzFkNmZkMTctYjRhMS00ODZiLWFlNjQtZmZmN2IzMDJlNmVkXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Not Rated,"Action, Comedy, Crime",PT2H48M,Tamil,200cr,91.2cr,605.8cr,192.3cr,413.5cr,Blockbuster,AggregateRating,10,1,7.1,37298,,,,,
7,Movie,https://www.imdb.com/title/tt18411490/,Tiger 3,Tiger and Zoya are back - to save the country and their family. This time it&apos;s personal.,https://m.media-amazon.com/images/M/MV5BYzQwMGZlYTUtODUwNi00ZjQxLWEzODAtZGU3Zjc0MmNhMzhkXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure, Thriller",PT2H35M,Hindi,250cr,94.8cr,466.4cr,123.5cr,342.9cr,Hit,AggregateRating,10,1,5.7,54071,,,,,
8,Movie,https://www.imdb.com/title/tt15428134/,Dunki,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.",https://m.media-amazon.com/images/M/MV5BMzQ0NDRhNmItYzllYS00NDdlLTk0YTctZDQ5YmFkYjdkNDcyXkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_.jpg,Not Rated,"Action, Adventure, Comedy",PT2H40M,Hindi,175cr,58.2cr,436.8cr,195.6cr,241.2cr,Average,AggregateRating,10,1,6.5,78020,,,,,
9,Movie,https://www.imdb.com/title/tt12915716/,Adipurush,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav&apos;s journey to rescue his wife Janaki from the demon king Lankesh.,https://m.media-amazon.com/images/M/MV5BMTIwZWI0Y2YtZGJhZC00MjU4LTliZTUtODVjZjk4Y2FlYzI1XkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_.jpg,,"Action, Adventure, Drama",PT2H59M,Telugu,375cr,136.8cr,397.8cr,52.3cr,345.5cr,Average,AggregateRating,10,1,2.7,133931,,,,,
