,@type,url,name,alternateName,description,image,genre,duration,Language,Budget,First Day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount,Note,contentRating,First Day Collection India,India Net Collection,OLanguage
0,Movie,https://www.imdb.com/title/tt12735488/,Kalki 2898-AD,Kalki 2898 AD,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu&apos;s final avatar launches a war against darkness.,https://m.media-amazon.com/images/M/MV5BMTM3ZGUwYTEtZTI5NS00ZmMyLTk2YmQtMWU4YjlhZTI3NjRjXkEyXkFqcGc@._V1_.jpg,"Action, Adventure, Drama",PT3H,Telugu,450cr,182.6cr,1060.4cr,275.8cr,784.6cr,Blockbuster,AggregateRating,10,1,7.1,54395,,,,,
1,Movie,https://www.imdb.com/title/tt27510174/,Stree 2: Sarkate Ka Aatank,,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it&apos;s up to Vicky and his friends to save their town and loved ones.",https://m.media-amazon.com/images/M/MV5BMTA1NmUxYzItZmVmNy00YmQxLTk4Y2UtZjVkMWUwMWQ5N2IxXkEyXkFqcGc@._V1_.jpg,"Comedy, Horror",PT2H27M,Hindi,65cr,80.2cr,795.8cr,130.2cr,665.6cr,Blockbuster as of now,AggregateRating,10,1,7.6,23258,,,,,
2,Movie,https://www.imdb.com/title/tt27487934/,The Greatest of All Time,,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own ...",https://m.media-amazon.com/images/M/MV5BNDQzYWNiZjEtY2MzNy00MDdmLWI1NmItY2RkN2IzM2FlN2MwXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,"Action, Sci-Fi, Thriller",PT3H3M,Tamil,315cr,100.8cr,408.2cr,148.6cr,259.6cr,Pending as of now,AggregateRating,10,1,6.8,12403,,,,,
3,Movie,https://www.imdb.com/title/tt13818368/,Fighter,,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,https://m.media-amazon.com/images/M/MV5BZjkwN2Q5Y2QtMmE2MC00NzlkLTg2NzQtYjVjYjVmNjE2ZTNiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Action, Drama",PT2H46M,Hindi,240cr,37.8cr,337.4cr,101.8cr,235.6cr,Average,AggregateRating,10,1,6.2,49004,,Not Rated,,,
4,Movie,https://www.imdb.com/title/tt15433956/,Hanu Man,,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,https://m.media-amazon.com/images/M/MV5BODNlMDM2N2UtOTE5ZS00ODViLTljMDEtOTEwNjU5YTNkNGNlXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg,"Action, Adventure, Fantasy",PT2H38M,Telugu,35cr,23.4cr,296.2cr,58.7cr,237.5cr,Blockbuster,AggregateRating,10,1,7.8,26922,,,,,
5,Movie,https://www.imdb.com/title/tt26458038/,Manjummel Boys,,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",https://m.media-amazon.com/images/M/MV5BMTQwZjRiMjUtYmU0OS00Y2EwLWJhZTctOWI1ZGU2NWExM2FkXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_.jpg,"Adventure, Drama, Thriller",PT2H15M,Malayalam,15cr,6.9cr,241.6cr,73.4cr,168.2cr,All Time Blockbuster,AggregateRating,10,1,8.3,21604,,,,,
6,Movie,https://www.imdb.com/title/tt27744786/,Shaitaan,,"A family&apos;s getaway turns terrifying when an intruder possesses the teen daughter&apos;s body, putting her at the mercy of his increasingly sinister commands.",https://m.media-amazon.com/images/M/MV5BYjczYjQ3ZTMtMDAwZi00Y2I2LWE2MTMtOGUyM2YyMThmYTFiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Drama, Horror, Thriller",PT2H12M,Hindi,95cr,21.8cr,213.8cr,37.6cr,176.2cr,Super Hit,AggregateRating,10,1,6.6,50331,,Not Rated,,,
7,Movie,https://www.imdb.com/title/tt14564000/,Guntur Kaaram,,"Years after his mother abandons him and remarries, a man demands answers when he&apos;s asked to sign a document denying he is her son as she runs for office.",https://m.media-amazon.com/images/M/MV5BMjY3ZmMzMzMtMjFhNC00MGU3LTlkNzYtMGUwMzAwNjEyYmJhXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_.jpg,"Action, Drama",PT2H39M,Telugu,125cr,73.2cr,184.2cr,31.6cr,152.6cr,Average,AggregateRating,10,1,5.4,23705,,Not Rated,,,
8,Movie,https://www.imdb.com/title/tt6263850/,Deadpool &amp; Wolverine,,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",https://m.media-amazon.com/images/M/MV5BZTk5ODY0MmQtMzA3Ni00NGY1LThiYzItZThiNjFiNDM4MTM3XkEyXkFqcGc@._V1_.jpg,"Action, Adventure, Comedy",PT2H8M,English,,,,,168.6cr,Super Hit,AggregateRating,10,1,8.0,281410,,R,26.8cr,135.4cr,
9,Movie,https://www.imdb.com/title/tt5525650/,Aadujeevitham,The Goat Life,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.",https://m.media-amazon.com/images/M/MV5BNjUzYzYzMTQtMmU2Yy00YjEzLWEyMDgtNTlkOTAyNzE4ZWQ4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,"Adventure, Drama",PT2H53M,Malayalam,50cr,16.2cr,158.2cr,59.4cr,98.8cr,Blockbuster,AggregateRating,10,1,7.1,42575,,,,,
